source_data_file,evidence_module,related_figure_or_section,raw_data_family,generating_script_or_pipeline,redistribution_status,column_count_preview,preview_columns
camels_673_blocked_crossfit_memory_coordinate_metrics.csv,CAMELS-US main memory-coordinate diagnostics,Figs. 1-2; Results: discharge persistence and memory-normalized dispersion,CAMELS-US,scripts/run_camels_full.py; scripts/run_camels_blocked_crossfit_memory_coordinate.py,derived non-sensitive CSV; raw third-party data not redistributed,11,analysis_group; method; axis_column; weighted_beta_variance; n_units; n_bins_used; n_unit_bin_values; variance_reduction_vs_raw
camels_673_collapse_metrics.csv,CAMELS-US main memory-coordinate diagnostics,Figs. 1-2; Results: discharge persistence and memory-normalized dispersion,CAMELS-US,scripts/run_camels_full.py; scripts/run_camels_blocked_crossfit_memory_coordinate.py,derived non-sensitive CSV; raw third-party data not redistributed,8,axis; weighted_variance; mean_variance; median_variance; n_bins; n_station_bin_values; ci95_low; ci95_high
camels_673_memory_coordinate_attribute_modifiers.csv,CAMELS-US main memory-coordinate diagnostics,Figs. 1-2; Results: discharge persistence and memory-normalized dispersion,CAMELS-US,scripts/run_camels_full.py; scripts/run_camels_blocked_crossfit_memory_coordinate.py,derived non-sensitive CSV; raw third-party data not redistributed,7,attribute; label; n; spearman_rho; p_value; abs_rho; rank
camels_673_psd_estimator_robustness_metrics.csv,CAMELS-US main memory-coordinate diagnostics,Figs. 1-2; Results: discharge persistence and memory-normalized dispersion,CAMELS-US,scripts/run_camels_full.py; scripts/run_camels_blocked_crossfit_memory_coordinate.py,derived non-sensitive CSV; raw third-party data not redistributed,8,config_id; nperseg; slope_window_decades; axis; weighted_beta_variance; n_units; n_bins_used; n_unit_bin_values
camels_gb_v2_replication_collapse_metrics.csv,CAMELS-GB v2 replication,Figs. 1-2; Results: discharge persistence and memory-normalized dispersion,CAMELS-GB v2,scripts/run_camels_gb_replication.py,derived non-sensitive CSV; raw third-party data not redistributed,7,axis; weighted_variance; mean_variance; median_variance; n_bins; n_station_bin_values; variance_reduction_vs_raw
fourier_pair_circularity_baseline_metrics.csv,Fourier-pair circularity baseline,Supplementary tables and source-data checks,CAMELS-US; CAMELS-GB v2,scripts/run_fourier_pair_circularity_baseline.py,derived non-sensitive CSV; raw third-party data not redistributed,8,scenario_group; n_series; raw_weighted_beta_variance; de_weighted_beta_variance; variance_reduction_vs_raw; variance_ratio_de_over_raw; raw_bins_used; de_bins_used
r16_convergent_alignment_cross_validation.csv,Functional-distance convergence and held-out-gauge validation,Supplementary tables and source-data checks,CAMELS-US; CAMELS-GB v2,scripts/analyze_convergent_curve_alignment_metric.py,derived non-sensitive CSV; raw third-party data not redistributed,6,archive; fold; metric; raw_value; memory_coordinate_value; reduction_vs_raw
r16_convergent_alignment_metric_summary.csv,Functional-distance convergence and held-out-gauge validation,Supplementary tables and source-data checks,CAMELS-US; CAMELS-GB v2,scripts/analyze_convergent_curve_alignment_metric.py,derived non-sensitive CSV; raw third-party data not redistributed,6,archive; metric; raw_value; memory_coordinate_value; reduction_vs_raw; direction
r19_ar1_conditioned_residual_attribute_modifiers.csv,AR(1)-conditioned residual diagnostic with median reference,Fig. 3,CAMELS-US; CAMELS-GB v2,scripts/analyze_ar1_conditioned_residual_alignment.py,derived non-sensitive CSV; raw third-party data not redistributed,7,archive; attribute; label; n; spearman_rho; p_value; abs_rho
r19_ar1_conditioned_residual_by_gauge.csv,AR(1)-conditioned residual diagnostic with median reference,Fig. 3,CAMELS-US; CAMELS-GB v2,scripts/analyze_ar1_conditioned_residual_alignment.py,derived non-sensitive CSV; raw third-party data not redistributed,7,gauge_id; raw_residual_sq; raw_n_bins; de_residual_sq; de_n_bins; ar1_residual_de_reduction; archive
r19_ar1_conditioned_residual_curves.csv,AR(1)-conditioned residual diagnostic with median reference,Fig. 3,CAMELS-US; CAMELS-GB v2,scripts/analyze_ar1_conditioned_residual_alignment.py,derived non-sensitive CSV; raw third-party data not redistributed,9,archive; gauge_id; tau_acf_days; frequency; frequency_cpd; de; beta; beta_ar1_ref
r19_ar1_conditioned_residual_metrics.csv,AR(1)-conditioned residual diagnostic with median reference,Fig. 3,CAMELS-US; CAMELS-GB v2,scripts/analyze_ar1_conditioned_residual_alignment.py,derived non-sensitive CSV; raw third-party data not redistributed,10,archive; metric_family; raw_axis_weighted_variance; de_axis_weighted_variance; reduction_vs_raw; min_units_per_bin; raw_bins_used; de_bins_used
r20_support_matched_coordinate_sensitivity.csv,Support-matched and gauge-matched AR(1) artifact-floor gates,Fig. S6,CAMELS-US; CAMELS-GB v2,scripts/analyze_r20_support_matched_sensitivity.py; scripts/analyze_r20_gauge_matched_ar1_residual.py; scripts/run_r20_gauge_matched_surrogate_ladder.py,derived non-sensitive CSV; raw third-party data not redistributed,12,archive; support_contract; binning; n_points; n_gauges; raw_axis_weighted_variance; de_axis_weighted_variance; reduction_vs_raw
r23_camels_br_third_archive_archive_metrics.csv,CAMELS-BR tropical third-archive replication,Fig. 2; Figs. S1-S2,CAMELS-BR v1.2,scripts/run_r23_camels_br_third_archive.py,derived non-sensitive CSV; raw third-party data not redistributed,8,archive; n_gauges; median_tau_acf_days; raw_weighted_beta_variance; de_weighted_beta_variance; variance_reduction_fraction; raw_n_bins; de_n_bins
